snapshotAt,season,date,market,marketDisplay,baseMarket,isAltMarket,player,team,opponent,pitcher,line,americanOdds,finalProbabilityPercent,sportsbookImpliedPercent,finalEdgePercent,confidence,recommendation,weatherAdjustmentPercent,savantAdjustmentPercent,oddsMovementAdjustmentPercent,missingData,originalMarket,rawLabel,marketFamily
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Chandler Simpson,TBR,TOR,Eric Lauer,1.5,156.0,55.53,39.06,16.46,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,batter_hits,,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Junior Caminero,TBR,TOR,Eric Lauer,1.5,199.0,49.62,33.44,16.18,Medium-High,Positive edge,,0.8,0.34,PropLine game moneyline/total context | Self-stored odds movement snapshots,batter_hits,,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Alec Burleson,STL,MIL,Chad Patrick,0.5,183.0,51.46,35.34,16.13,Medium,Positive edge,0.43,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Aaron Judge,NYY,BAL,Shane Baz,0.5,196.0,49.79,33.78,16.01,Medium,Positive edge,-0.12,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Maikel Garcia,KCR,CLE,Tanner Bibee,0.5,178.0,51.83,35.97,15.86,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Junior Caminero,TBR,TOR,Eric Lauer,1.5,193.0,49.89,34.13,15.76,Medium-High,Positive edge,,0.8,0.34,PropLine game moneyline/total context | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Nico Hoerner,CHC,CIN,Chase Petty,1.5,143.0,56.87,41.15,15.72,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Bobby Witt Jr.,KCR,CLE,Tanner Bibee,1.5,176.0,51.93,36.23,15.7,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Jordan Walker,STL,MIL,Chad Patrick,0.5,176.0,51.82,36.23,15.59,Medium,Positive edge,0.43,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Dansby Swanson,CHC,CIN,Chase Petty,0.5,165.0,53.0,37.74,15.27,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,William Contreras,MIL,STL,Kyle Leahy,1.5,149.0,55.39,40.16,15.23,Medium,Positive edge,0.43,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Bryce Harper,PHI,MIA,Janson Junk,1.5,199.0,48.65,33.44,15.2,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Chase DeLauter,CLE,KCR,Michael Wacha,0.5,193.0,49.09,34.13,14.96,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Under,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Steven Kwan,CLE,KCR,Michael Wacha,1.5,183.0,50.07,35.34,14.74,Medium,Positive edge,0.54,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,Over,batter
2026-05-04T21:59:25.624015+00:00,2026,2026-05-04,batter_hits,Batter Hits,batter_hits,,Bryce Harper,PHI,MIA,Janson Junk,1.5,191.0,49.02,34.36,14.65,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,batter_hits,,batter
