playerId,player,team,role,batterGames,pitcherGames,bvpPlateAppearances
676356,Jonny DeLuca,TBR,batter,28,0,0
678391,Jorbit Vivas,WSN,batter,29,0,0
687597,Jordan Beck,COL,batter,26,0,0
663855,Jordan Hicks,CHW,pitcher,0,16,0
691783,Jordan Lawlar,ARI,batter,6,0,0
673929,Jordan Leasure,CHW,pitcher,0,16,0
605447,Jordan Romano,LAA,pitcher,0,11,0
691023,Jordan Walker,STL,batter,35,0,0
678489,Jorge Barrosa,ARI,batter,26,0,0
622761,Jorge Mateo,ATL,batter,23,0,0
593871,Jorge Polanco,NYM,batter,14,0,0
624585,Jorge Soler,LAA,batter,34,0,0
678606,Jose A. Ferrer,SEA,pitcher,0,20,0
514888,Jose Altuve,HOU,batter,34,0,0
664744,Jose Espada,BAL,pitcher,0,1,0
699912,Jose Fernandez,ARI,batter,29,0,0
683742,Jose Franco,CIN,pitcher,0,7,0
500779,Jose Quintana,COL,pitcher,0,5,0
624431,Jose Trevino,CIN,two-way,8,3,0
605137,Josh Bell,MIN,batter,35,0,0
694795,Josh Ekness,MIA,pitcher,0,2,0
676596,Josh Fleming,TOR,pitcher,0,1,0
673962,Josh Jung,TEX,batter,33,0,0
