season,seasonPhase,date,gamePk,gameDate,venue,home,away,latitude,longitude,roof,weatherSource,matchedHour,temperatureF,feelsLikeF,humidity,precipitationProbability,precipitation,windMph,windDirection,windGustMph,pressureMsl,cloudCover,parkSurface,updatedAt
2026,regular,2026-03-31,823807,2026-03-31T23:40:00Z,American Family Field,MIL,TBR,43.028,-87.9712,retractable,open_meteo_archive,2026-03-31T23:00,36.8,28.4,90,,,11.5,34,23.0,1019.5,99,turf,2026-05-07T07:58:31.723246+00:00
2026,regular,2026-03-31,823077,2026-03-31T23:45:00Z,Busch Stadium,STL,NYM,38.6226,-90.1928,open,open_meteo_archive,2026-03-31T23:00,65.8,67.6,81,,0.024,3.6,56,25.3,1014.6,99,grass,2026-05-07T07:58:32.386127+00:00
2026,regular,2026-03-31,824212,2026-04-01T00:10:00Z,Minute Maid Park,HOU,BOS,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-31T00:00,70.2,73.7,89,,,7.0,155,15.0,1019.1,23,turf,2026-05-07T07:58:33.059882+00:00
2026,regular,2026-03-31,825107,2026-04-01T01:40:00Z,Chase Field,ARI,DET,33.4455,-112.0667,retractable,open_meteo_archive,2026-03-31T01:00,80.7,80.9,37,,,0.9,45,4.3,1011.1,98,turf,2026-05-07T07:58:33.699983+00:00
2026,regular,2026-03-31,823322,2026-04-01T01:40:00Z,Petco Park,SDP,SFG,32.7073,-117.1566,open,open_meteo_archive,2026-03-31T01:00,63.0,65.8,91,,,1.8,158,7.2,1014.0,98,grass,2026-05-07T07:58:34.350726+00:00
2026,regular,2026-03-31,823158,2026-04-01T01:40:00Z,T-Mobile Park,SEA,NYY,47.5914,-122.3325,retractable,open_meteo_archive,2026-03-31T01:00,41.3,35.5,84,,,6.6,16,14.5,1016.4,100,turf,2026-05-07T07:58:34.983151+00:00
2026,regular,2026-03-31,823969,2026-04-01T02:10:00Z,Dodger Stadium,LAD,CLE,34.0739,-118.24,open,open_meteo_archive,2026-03-31T02:00,59.3,61.1,90,,,0.3,225,6.5,1014.8,99,grass,2026-05-07T07:58:35.628300+00:00
2026,regular,2026-04-01,824860,2026-04-01T16:35:00Z,Oriole Park at Camden Yards,BAL,TEX,39.284,-76.6217,open,open_meteo_archive,2026-04-01T16:00,87.1,85.7,31,,,6.0,278,20.4,1016.5,9,grass,2026-05-07T07:59:11.482677+00:00
2026,regular,2026-04-01,824536,2026-04-01T16:40:00Z,Great American Ball Park,CIN,PIT,39.0979,-84.5081,open,open_meteo_archive,2026-04-01T16:00,67.0,68.3,83,,0.075,6.6,334,24.2,1016.8,100,grass,2026-05-07T07:59:12.138255+00:00
2026,regular,2026-04-01,823483,2026-04-01T17:05:00Z,Citizens Bank Park,PHI,WSN,39.9061,-75.1665,open,open_meteo_archive,2026-04-01T17:00,82.2,80.4,35,,,5.7,302,17.7,1017.1,19,grass,2026-05-07T07:59:12.799038+00:00
2026,regular,2026-04-01,822835,2026-04-01T17:07:00Z,Rogers Centre,TOR,COL,43.6414,-79.3894,retractable,open_meteo_archive,2026-04-01T17:00,41.3,34.4,60,,,6.2,32,18.8,1026.2,100,turf,2026-05-07T07:59:13.686148+00:00
2026,regular,2026-04-01,823889,2026-04-01T17:10:00Z,loanDepot park,MIA,CHW,25.7781,-80.2197,retractable,open_meteo_archive,2026-04-01T17:00,79.1,77.0,49,,,11.7,85,27.7,1019.6,98,turf,2026-05-07T07:59:14.701619+00:00
2026,regular,2026-04-01,823078,2026-04-01T17:15:00Z,Busch Stadium,STL,NYM,38.6226,-90.1928,open,open_meteo_archive,2026-04-01T17:00,61.7,60.9,83,,,6.8,67,15.7,1014.5,100,grass,2026-05-07T07:59:15.834105+00:00
2026,regular,2026-04-01,823806,2026-04-01T17:40:00Z,American Family Field,MIL,TBR,43.028,-87.9712,retractable,open_meteo_archive,2026-04-01T17:00,34.2,24.7,75,,,11.9,35,30.0,1025.6,100,turf,2026-05-07T07:59:16.523477+00:00
2026,regular,2026-04-01,824211,2026-04-01T18:10:00Z,Minute Maid Park,HOU,BOS,29.7573,-95.3555,retractable,open_meteo_archive,2026-04-01T18:00,78.5,79.1,64,,0.004,11.8,164,29.8,1013.0,99,turf,2026-05-07T07:59:17.193653+00:00
2026,regular,2026-04-01,824698,2026-04-01T18:20:00Z,Wrigley Field,CHC,LAA,41.9484,-87.6553,open,open_meteo_archive,2026-04-01T18:00,39.2,30.2,82,,,13.2,34,29.1,1022.9,100,grass,2026-05-07T07:59:17.837935+00:00
